Category,Description
Electronics,"Aavjo Gearmax Nylon Fiber Waterproof & Shockproof Durable Universal Carrying Bag with Handles with Accessories for Apple MacBook Pro Ratina Air 13.3"" Inch and Other Laptop upto 13.5 Inch (Lemon Green)"
Household,"INDISWAN™ Bathroom Towel Napkin Ring Stainless Steel (Silver, Chrome Finish) (Pack of 2) This round towel ring is made up of stainless steel and bracket is made up of white metal. Both ring and bracket are chrome finished to give premium look. Ring in a Chrome finish will look fresh and modern for years to come. Easy to install, these accessories come with template and hardware, and are sure be quick but lasting additions to your space."
Household,"Leifheit Wall-Mounted Roll Holder Parat F2 Black Nice to have everything at hand: Aluminium foil ,Cling film, Kitchen roll & spices. All finds its place in the wall-mounted Roll holder Parat F2 Spices can be put on the practical storage shelf. Aluminium foil and cling film are in two closed containers, the kitchen roll is ready to hand on a third holder, which is removable and equipped with an integrated brake for the controlled tearing off of kitchen rolls sheet for sheet. The razor-sharp blades gives a perfect cut and tear . Blades are replaceable upon condition . Caution Blades are extremely sharp ! Exercise great care when inspecting or handling the blades. keep away from children ."
Books,"The Bed of Procrustes: Philosophical and Practical Aphorisms (Incerto) Review Praise for Nassim Nicholas Taleb   “The most prophetic voice of all.” —GQ   “The hottest thinker in the world.” —Bryan Appleyard, The Sunday Times (London)   “[Taleb writes] in a style that owes as much to Stephen Colbert as it does to Michel de Montaigne.” —The Wall Street Journal   “Idiosyncratically brilliant.” —Niall Ferguson, Los Angeles Times From the Hardcover edition.  About the Author Nassim Nicholas Taleb has devoted his life to problems of uncertainty, probability, and knowledge. He spent nearly two decades as a businessman and quantitative trader before becoming a full-time philosophical essayist and academic researcher in 2006. Although he spends most of his time in the intense seclusion of his study, or as a flâneur meditating in cafés, he is currently Distinguished Professor of Risk Engineering at New York University’s Polytechnic Institute. His main subject matter is “decision making under opacity”—that is, a map and a protocol on how we should live in a world we don’t understand.   Taleb’s books have been published in thirty-three languages.From the Hardcover edition.               See all Product description"
Electronics,"boAt Rugged V3 Braided Micro USB Cable (Ivy Green) Colour:Ivy Green   The boAt lifestyle rugged Micro USB cables are really rugged and made to be compatible with your all micro USB devices. No warning message, works the same as the cable you get with your device. Connects to your Smartphones, Mp3 Players or other micro USB supported devices and charges or syncs by connecting the USB connector into your wall charger or computer. Fully supports data sync and battery re-charging for any micro USB device. No need to wrap, the cable design makes them tangle free. Choose your style to charge in. Plug it in, plug into Nirvana."
Electronics,Epson ELPLP69 Replacement Projector Lamp / Bulb BRAND NEW AND ORIGNAL LAMP
Electronics,"Drumstone Wireless Bluetooth Receiver Adapter 3.5mm AUX Audio Stereo Music Home Hands free Car Kit Suitable with Smartphones (Assorted Colour) Size name:Receiver Type 1   Are you looking for a uniquely designed device that would let you connect to the stereo receiver of your car without the help of a bluetooth? Simply opt for the Wireless 3.5mm Car Bluetooth Music Receiver With MIC Stereo Output because it would let you do exactly what you want. The most interesting part of this exclusively created gadget is that it can be easily connected without a cable and one can even listen to music from one's mobile phone, laptop and ipod.Are you looking for a uniquely designed device that would let you connect to the stereo receiver of your car without the help of a bluetooth? Simply opt for the Wireless 3.5mm Car Bluetooth Music Receiver With MIC Stereo Output because it would let you do exactly what you want. The most interesting part of this exclusively created gadget is that it can be easily connected without a cable and one can even listen to music from one's mobile phone, laptop and ipod. Features The three features that make Drumstone Wireless 3.5mm Car Bluetooth Music Receiver stand out among others are . It is small in size . It scores high in portability . It can be connected to headphones Since the product is extremely light in weight and weighs only 59 grams, therefore, you probably won't have any difficulty in carrying the object to wherever you go. With this device in your car, the traffic jams will no longer seem monotonous and long drives will turn out to be thoroughly enjoyable and pleasing. From cars, motor cycles and boats to audio visual systems and headphones, the car stereo music receiver can be connected to all of them. If you choose to buy Car Bluetooth Music Receiver online, you can even do so to save your precious time and energy as well. While using the device, be a bit careful and ensure that nothing happens to the connecting pin. Otherwise, it may become useless."
Electronics,Brain Freezer DSLR/SLR Camera Lens Shoulder Backpack Case For Canon Nikon Sigma Olympus Camera (Orange)
Household,Furniselan Console Table In Teak Finish Color:Teak Finish   Brand-Furniselan Sku-Fs-1049-Vap-1039 Size- Width: 36 Inches Depth: 16 Inches Height: 30 Inches Primary Material- Mango Wood Finish- Teak Finish
Electronics,"Samsung Galaxy Tab A 7.0 Tablet (7 inch, 8GB, Wi-Fi + 4G Volte + Voice Calling), Black"
Clothing & Accessories,"Jockey Women's Cotton Padded Active Bra Premium Combed Cotton Stretch fabric. Modern fit. Soft elasticized waistband with flat drawstring. To be worn as loungewear, leisurewear and active wear for all purpose use."
Clothing & Accessories,"Urbaano Belo Lace Bikini Set - Black & Red (Pack of 2) Urbaano Belo bikini Lace set in a simple stunning triangle makes this bikini standout, halter bikini top & bikini panty style that can be tied at both the sides according to your size. Be a Stunner."
Household,"Indigifts Micro Satin Printed Cushion Cover with Filler (Beige, 12x12-inch) Pattern: indibni beige paris coffee love print utility: gift for boyfriend, gift for girlfriend, special gift for wife, gift for husband, unique gift for couple, house warming, home decor, throw pillow for spouse, ideal gift for loved one, sofa cushion, bed cushion, romantic gift for lover, honeymoon gift, perfect gift for would be husband/wife and special gift for life partner. Dimension: 12 x 12 inches (available in more sizes 16 x 16, 18 x 18) material: front: digitally printed soft poly satin back: black colored cotton filling: 170-180 gm gopd quality conjugated fiber filler fabrication: overlap envelop backing which protects from stain. An inside layer of foam gives more soft touch to the cover. Cotton lining to cover the foam. Double interlock from inside. Outline seam stitch care instruction: do not bleach or soak. Do not wash the cushion with the filler. It requires hand wash cleaning with flat dry and very low temperature steam ironing."
Books,National Science Olympiad  Workbook (NSO) - Class 1 
Clothing & Accessories,"Mothercare Baby Boys' Sleepsuit (Pack of 3) These gorgeous pack of 3 sleepsuits have been designed in a soft and cosy cotton for a comfortable night's sleep, The poppers are nickel-free to prevent irritation on your baby's delicate skin. The feet are enclosed for warmth and they have our toe safe design which prevents threads wrapping around tiny toes."
Electronics,"Polk Audio DB651 6.5-inch 2-Way Coaxial Speaker (Silver) The DB 651 come with 6 3/4-inch adaptor rings for easy fit in VWs, Audis, BMWs and other European cars. This is a truly versatile high-performance coaxial loudspeaker with all the polk features and technology that make it a great choice for any vehicle. dimensions - cut-out diameter 5 (12. 70cm) inch dimensions full-range mounting depth - bottom mount 2 3/8 (6. 03cm) inch dimensions full-range mounting depth - top mount 2 (5. 08cm) inch dimensions grille - height 1 3/16 (3. 02cm) inch driver complement mid/ woofer - diameter 6 1/2 (16. 51cm) inch driver complement mid/ woofer - quantity 1driver complement mid/ woofer - type dynamic balance driver with polymer/mica composite cone with rubber surround driver complement tweeter - diameter 3/4 (1. 91cm) inch driver complement tweeter - quantity 1driver complement tweeter - type silk/polymer composite dome electrical - efficiency 92 DB electrical - nominal impedance 4 ohm electrical - total frequency response 35 hz -22k hz electrical power handling."
Clothing & Accessories,Cherokee by Unlimited Boys' Regular Fit Shorts Cherokee kids grey shorts made of 100% cotton twill fabric.
Clothing & Accessories,"TUCUTE Women/Girls Cotton Hosiery 3 pcs Top, Pajama & Capri Nightwear/Nighty/Nightsuit/Loungewear/Nightsuit (Top,Pajama & Capri) Size: Large=38"" Stay comfortable all day long in this cute night wear set, whether its lounging around or casual wear use , this Pyjama set from Tucute is perfect!"
Household,"Story@Home 100% Cotton Soft Towel Set of 6 Pieces, 450 GSM - 6 Face Towels - Blue Color Name:Blue   Story@Home brings you wide range of 100% pure premium cotton towels of different sizes with vibrant colors. Towels keep you cozy, dry and clean. Nothing beats the level of comfort they provide when we wrap up in towel after an exhausting swim or hot bubble bath or taking a steam bath with it. Our towels are extremely soft due to special combed weaving technique providing high absorption and faster drying. One of the best weaving technique for making highly effective towels resulting in lower lint formation. Our towels become softer after every wash and are washing machine friendly, just toss them in to your washing machine. These towels color fast.  Cotton towels never irritate or rub skin the wrong way as other materials do, hence these towels are made of 450 GSM making a perfect balance of light weight, softness and much faster drying - suitable for traveling. This also makes our towels ideal for regular use, places like gyms, salons and kitchens, where function trumps comfort every time. Buy these towels with confidence and experience the richness and effectiveness. One of the best and thoughtful gifting idea to newly wedded couples, new home owners, family, friends or for welcoming guests who love to live life luxuriously."
Household,"Luminous Zelio1100 Inverter with Red Charge 15000 120 Ah Tubular Battery Luminous zelio 1100 + luminous rc 15000 120 ah tubular battery product descriptions luminous zelio is india's most intelligent sine wave home ups with features such as power back up time display in hours & minutes, hassle free water level maintenance, mcb protection. The combo comes with 120 ah tubular batteries which is ideal solution for 2 bhk home. It is the combo of luminous across all indian cities. Item details capacity inverter - 900 va, battery - 120 ah running load combination 2 cfl, 2 tube light, 2 ceiling fan, 1 television, 1 water cooler standard backup 2 - 3 hours technology inverter - sine wave, battery - tubular plates warranty inverter - 24 months, battery 18+18* months weight inverter - 7 kg, operating voltage 110 v - 285 v battery full recharge time 10-12 hours protections overload, deep discharge, short-circuit, reverse polarity, input mains protection through mcb backup time* load 500w 400w 300w 200w 100w duration 1 hrs 35 mint 2 hrs 10 mint 3 hrs 10 mint 5 hrs 20 mint 13 hrs back up time is under standard test conditions, may vary depending upon load types, temperature and ageing. Luminous zelio1100 + luminous rc 15000 120 ah tubular battery for correct fitment."
Electronics,"Sony NWZ-B183F Walkman 4GB Digital Music Player (Black) Colour:Black   Superior Sound Quality: Enjoy your favourite music on the move with the Sony Walkman MP3 player. Superior technology is meant to make your life easier. With just a push of a button, enjoy the deep bass and vibrant acoustics of your music from this MP3 player. It is equipped with Bass Boost sound effect and a 5 band equaliser for customized musical pleasures. Engineered with USB 2.0 technology, you can easily connect it to your laptop or PC and transfer your music files to it. It has a RAM of 4 MB and internal storage capacity of 4 GB. The internal memory is vast enough to store hundreds of your songs and music tracks."
Electronics,"Deception Point About the Author Dan Brown is the bestselling author of The Da Vinci Code, Angels & Demons, and Digital Fortress. He lives in New England with his wife. Visit the author at www.danbrown.com. 				    	 					 From AudioFile Now that Brown has hit it big with THE DA VINCI CODE, some of his older works are coming out in audio. This one is about NASA, a ""find"" beneath the Arctic ice, a slimy senator who wants to be president, and his daughter, who works for the current president. Character development has been sacrificed for scientific detail, at least in the shortened version, but Boyd Gaines does his best to give everyone a voice, delivering the expository details with the authority of a news anchor. Listen for the plot and the ""Cryptalk"" and ignore lines like ""Then it happened."" J.B.G. © AudioFile 2004, Portland, Maine-- Copyright © AudioFile, Portland, Maine"
Clothing & Accessories,"Charm Kingdom Girl's Princess Dance Tutu Gauze Dress Skirts Size Information: S(0-1Y): Tiled Waist 22cm/8.7"", Stretched Waist 35cm/13.8"", Length 22cm/8.7"" M(2-4Y): Tiled Waist 24cm/9.5"", Stretched Waist 42cm/16.5"", Length 25cm/9.8"" L(4-8Y): Tiled Waist 26cm/10.3"", Stretched Waist 49cm/19.3"", Length 28cm/11.0"""
Clothing & Accessories,"You Forever Solid Maroon Lingerie Sets You will definitely impress your partner when you wear this lingerie set from You Forever. Made from satin, this set remains extremely soft against the skin. Featuring a trendy appeal, this lingerie set comprises a bra and a thong."
Clothing & Accessories,"Dada Shopy Comfort Fit Rayon Cotton Pant Palazzo for Women Beautifully crafted regular wear rayon cotton pant palazzo to add grace to your normal attire. This can be carried upon formal's, casual or ethnic occation. Fabric:- Rayon Cotton Color:- One color Fit :- Regular Fit"
Electronics,"HP Pavilion 590-p0035in Tower PC 2018 (Intel Core i3-8100/4GB/1TB/Windows 10/Integrated Graphics), Black Whether your family is looking to surf, stream or tackle that next big assignment, this budget friendly All-in-One has been redesigned to give everyone what they need. A splash of color and reliable, trusted performance make this the perfect living room go-to."
Books,"Indian Economy: For UPSC Civil Services & Other State PSC Examinations About the Author Dr. Ramesh Singh is an Alumnus of the Delhi School of Economics and an education consultant with over two decades of experience in guiding civil service aspirants. He is the director of a tutorial institute known as Civils India, which aids students in their preparation for a vast array of competitive examinations. He is a prolific writer and has authored books in both Hindi and English for McGraw Hill Education, including bestseller - Indian Economy, Bharitya Arthvyavastha and Contemporary Essays.He is also a popular columnist of the Publication Division journals Yojana and Kurukshetra.A teacher par excellence, he is endowed with exceptional quality of simplifying the difficult concepts of economics in a cogent and crystal-clear way. His expert lectures on economics and essay are quite popular across the country. He lives in Delhi busy in diverse academic and social pursuits."
Electronics,"Kitchen Point Lovely Cartoon Shape Plastic and Steel Mini Non-Stick Pan for Pancake Egg Frying Color Name:Mini Omlet Pan   Exciting Sunny morning, to the children love to do a nutritious creative breakfast, the omelette is your first choice. Eggs are one of the best sources of human nutrition, egg protein quality is best, second only to breast milk, fried a creative egg, eat happy. Super cute fried egg, you can fry out the amazing pattern, with such a lovely stuff, family and friends will envy your ingenuity of creative eggs can also fry into this Can be used on the induction cooker, you can also use the gas hood, but remember to use a small fire! Ideal for making pancakes, crumpets or Exciting fried Egg . Perfect for egg muffins, mini pancakes, small omelettes, poached eggs and burgers"
Books,"Society Leaf Tea Premium Packet, 1000g Crushed, twisted and curled each tea leaf is carefully picked to create and amalgamation of exquisite aroma and taste. The CTC process ensures that the Society tea offers the perfect infusion of rich color and strong flavor providing each customer a cuppa to cherish."
Electronics,"BlueRigger Digital Optical Audio Toslink Cable (3 Feet / 0.9 Meter) Size name:3 Feet / 0.9 Meter   The BlueRigger Toslink optical audio connection carries a digital audio stream using a fiber-optic cable. It is perfect for connecting your audio devices such as CD/DVD players to a receiver, preamplifier or audio processor Home-Theater Application  Toslink cable allows enjoyment of movies with Dolby Digital and DTS surround sound. It helps connect audio components such as CD/DVD player, digital satellite and more to your home/audio theater system, preamplifier, receiver, audio processors and digital-to-analog converters (DACs). Optical fiber & precision-polished optical connectors provides crystal clear sound.  Note: Please Remove Protective Rubber Tips Prior to Installation. Construction - The Lightweight and flexible BlueRigger Toslink cable is made of up of a durable PVC outer layer - It has gold-plated connectors that resist corrosion and offer optimal signal transfer and - It uses an optical fiber cable  The fiber-optic cable prevents electromagnetic and radio frequency noise leaving you with greater sonic accuracy and a more detailed, natural sound unlike an electrical cable.  Lengths BlueRigger Toslink cables are available in 3ft,6ft,10ft, 15ft, 25ft and 50ft lengths.  Warranty All BlueRigger Toslink cables are backed by a Limited Lifetime warranty. Please contact us via email if you have any questions."
Household,"M.G Enterprises 12 pc Combo Wool Ball. Hand Knitting Art Craft Soft Fingering Crochet Hook Yarn, Needle Knitting Thread Dyed M.G Wool is ideal for knitting sweaters, Art & Craft, etc. Items made from this yarn may be laundered through the use of water, detergent or soap and gentle hand manipulation; No bleach product may be used."
Clothing & Accessories,"Rupa Jon Women's Cotton Camisole (Pack of 5)(Colors May Vary) Tough times don’t last. Tough people do. And they are usually found in a pair of Jon innerwear. That’s because Jon is a good play of quality and affordability. Special stitching is used on 100% fine cotton. The result? Total comfort and total durability. Thoughtfully designed with a double-pouch, and imported rubber elastic (in drawers) Jon is a product par excellence. The Jon range includes Jon vests, Jon drawers, Aishwarya panties, slips and kids’ innerwear (vests, briefs and drawers)."
Electronics,"Bambalio BCC-2700 Paper/CD/Credit Card Cross Cut Shredder with 10 Sheet Capacity and 12 L Bin Features: Auto start/stop for convenient one hand operation shreds CD, DVD, credit card and staples sleek design special pull out basket built in handle for easy emptying of basket low noise high energy saving overload indicator specifications: Cut style - crosscut capacity - 10 sheets basket capacity - 12 litres shred size - 5 x 36 mm auto start/stop. After 3 minutes of usage it needs a rest time of 60 minutes."
Electronics,"SanDisk Cruzer Blade 16GB USB 2.0 Pen Drive (Pack of 2) Product Description  SanDisk Cruzer Blade 16GB USB 2.0 Pen Drive  Ample Storage Space, Excellent PortabilityWith its compact design and high storage capacity, SanDisk Cruzer 16GB pendrive is an ideal choice. Equipped with a solid 16GB storage capacity, the SanDisk drive lets you back up, transfer and share all types of files swiftly. Designed with 2.0 interface, the pen drive is extremely lightweight and makes you easily carry your favourite music, movies, videos and personal data anywhere on-the-go. Drag and Drop Setup, CompatibilityThe Cruzer blade pendrive simplifies the data transfer with its simple drag and drop file backup. All you need to do is to simply plug-in to your computer’s USB port and drag files to the drive’s folder. Once the driver gets downloaded in your system, the drive lets you start storing, sharing and moving the data immediately. On the other hand the SanDisk pendrive is easily compatible with Windows 7, Windows Vista, Windows XP and Mac OS X 10.1. Lastly, the pendrive comes with 2 year manufacturer warranty.  From the Manufacturer  Enjoy Ample Capacities and Maximum Portability With its stylish, compact design and generous capacity, the Cruzer Blade USB Flash Drive makes it easy to back up, transfer, and share your files. Available in capacities up to 128GB1 , this USB drive lets you carry your photos, movies, music, and personal data wherever you go.      High-Capacity Drive Accommodates Your Favorite Media Files Designed by SanDisk, a leader in flash memory innovation, the Cruzer Blade USB Flash Drive packs generous capacity into a compact form. Available in sizes up to 128GB1, this USB drive can hold all your must-have files.      Simple Drag-and-Drop File Backup Transferring data onto the Cruzer Blade USB Flash Drive is easy: simply plug it into your computer's USB port and drag files into the drive's folder. After a fast, first-time driver download, this USB drive lets you start storing, transporting, and sharing your data immediately.      Compact Design for Maximum Portability The Cruzer Blade USB Flash Drive features a compact design that fits easily into a pocket or computer bag. This USB drive has a sleek black and red design that coordinates with many electronic devices."
Electronics,"On the Trail of the Black: Tracking Corruption About the Author Bibek Debroy is an eminent economist and is presently the Chairman of the Economic Advisory Council to the Prime Minister and Member of NITI Aayog, Government of India. He has authored and edited several books, papers and popular articles and has also been a consulting/contributing editor with several newspapers. Kishore Arun Desai is an Officer on Special Duty at NITI Aayog with Bibek Debroy. He has, along with Debroy, co-authored analytical policy papers on subjects such as simultaneous elections and changing India’s financial year."
Electronics,"CHIPTRONEX C100 ATX Cabinet with SMPS (Power Supply) for ATX,Micro ATX and Mini ITX Motherboard The Chiptronex C100 ATX Cabinet is full of features that make your new system perform with real muscle. This case comes with plenty of room for expansion, it supports ATX, Micro ATX and Mini ITX with three 5.25"" external, one 3.5"" external, three 3.5"" internal drive bays and one 2.5 SSD. It included one 120mm fan in rear which delivers outstanding ventilation and exceptional system cooling and Constructed of Hot Dipped Galvanized steel with full black body structure. A 300W black case power supply is also included to provide stable and strong power for your components. It has 2 x USB 2.0 and HD audio. Max VGA Length is 315 mm and Max CPU Cooler Height 147mm."
Household,"Philips EasySpeed Plus GC2048 2300-Watt Steam Iron (Purple) The iron's 120 g steam boost enables you to easily remove even the most stubborn creases. Power up to 2300 W enables constant high steam output. Continuous steam output of up to 35 g/min gives you the perfect amount of steam to efficiently remove all creases. This Philips iron has a vertical steam function, for crease removal in hanging fabrics. This steam iron can be operated with normal tap water and the calc clean slider makes it easy to remove any built-up scale out of your iron. To maintain the performance of your Philips steam iron, you should use this scale clean function once a month when using normal tap water."
Books,"My First 4-in-1 One Wild Animals, Pet and Farm Animals, Birds, Sea Animals: Padded Board Books About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
Household,"Ebee Foldable Shoe Rack with 4 Shelves (Black) This unique space saving 12 pair shoe rack provides a great way for you to organize and store your footwear collection without taking up a lot of floor space in your room or closet. With its 4 spacious shelves, you can neatly store up to 12 pairs of your favorite shoes with or without shoe boxes. Made from a sturdy polymer plastic frame and pipes shelves, this shoe rack will provide a reliable, long lasting shoe storage solution for your home. This shoe storage option allows you to keep your shoes organized and all together. Its extra strong base ensures that your shoe rack receives the best possible support, even on carpeted surfaces. The easy to assemble rack snaps together within seconds, ready for use."
Books,GATE 2019 : Civil Engineering (32 Years Solution) 
Household,"DearJoy Cotton Toddlers Training Seat Baby Safety Sofa Dining Chair/Learn to Sit Stool, 3-12 Months (Orange) Color:Elephant Sofa   DearJoy baby sitting chair nursery pillow protectors for 3-9 months. Upright seating position helps stabilize your infant's back, sides and legs while they learn to sit up. 360 of comfy support safely wraps your baby in plush comfort as they observe their surroundings. Lightweight and portable easily provides your baby a safe place to sit in any room of the house. Two holes help to fix infant's body and legs regular but also make them feel comfortable."
Clothing & Accessories,EMVANV X-Large White Woman Nightdresswomen Sexy Lace Trim Lingerie Sleepwear Chemises One-Piece Nightdress with Waist Belt Half Sleeve Elegant Nightdress Descriptionsuper soft and comfortable fabrics sexy lace design with waist belt elegant and soft to touch keep you cool and comfortable throughout spec
Household,"IFB 30 L Convection Microwave Oven (30FRC2, Floral Pattern) Get perfectly succulent chicken kebabs or BBQ with the 30FRC2 microwave oven. Its motorised rotisserie continuously turns the meat in order to circulate the marinade, giving you that nice juicy taste in every bite. The floral pattern adds a dash of flair to the kitchen. Technical Specifications: Microwave Frequency (MHZ):2450 Power Source (V~HZ):230~50 Microwave Power Consumption (Watts):1400 Convection Power Consumption (Watts):2200 Grill Power Consumption (Watts):1250 Note: Incase of any issue with the product, kindly contact brand at 1800 3000 5678."
Books,Thomas & Friends: My First Railway Library: Bertie the Helpful Bus 
Household,Godrej NEH 05 1CK 20cm Zinc Alloy Door Handle Set with Lock Body and Cylinder Door thickness - 28mm to 40mm. Zinc alloy handle with satin finish. 48.5mm distance from edge of door to key hole. Key operation from both inside and outside. Comes with 2 mild steel keys.
Books,GATE 2019: Civil Engineering - Previous Solved Papers 
Books,"The Power of Habit: Why We Do What We Do in Life and Business Review “Sharp, provocative, and useful.”—Jim Collins“Few [books] become essential manuals for business and living. The Power of Habit is an exception. Charles Duhigg not only explains how habits are formed but how to kick bad ones and hang on to the good.”—Financial Times “Entertaining . . . enjoyable . . . fascinating . . . a serious look at the science of habit formation and change.”—The New York Times Book Review “Cue: see cover. Routine: read book. Reward: fully comprehend the art of manipulation.”—Bloomberg Businessweek“A fresh examination of how routine behaviors take hold and whether they are susceptible to change . . . The stories that Duhigg has knitted together are all fascinating in their own right, but take on an added dimension when wedded to his examination of habits.”— Associated Press “There’s been a lot of research over the past several years about how our habits shape us, and this work is beautifully described in the new book The Power of Habit.”—David Brooks, The New York Times “A first-rate book—based on an impressive mass of research, written in a lively style and providing just the right balance of intellectual seriousness with practical advice on how to break our bad habits.”—The Economist “I have been spinning like a top since reading The Power of Habit, New York Times journalist Charles Duhigg’s fascinating best-seller about how people, businesses and organizations develop the positive routines that make them productive—and happy.”—The Washington Post “An absolutely fascinating . . . book [that explores] a startling and sometimes dismaying collision between the increasingly sophisticated scientific understanding of habits—how they’re formed, how they can be disrupted and changed—and, among other things, companies’ efforts to use that knowledge to steer your habits and money their way.”—Wired “If Duhigg is right about the nature of habits, which I think he is, then trying to get rid of these bad habits won’t work. Instead, what is needed is to teach the managers to identify the cues that lead to these bad habits and rewards, and then learn alternative routines that lead to similar rewards, i.e. business and personal success.”—Forbes “The Power of Habit is chock-full of fascinating anecdotes . . . how an early twentieth century adman turned Pepsodent into the first bestselling toothpaste by creating the habit of brushing daily, how a team of marketing mavens at Procter & Gamble rescued Febreze from the scrapheap of failed products by recognizing that a fresh smell was a fine reward for a cleaning task, how Michael Phelps’ coach instilled habits that made him an Olympic champion many times over, and how Tony Dungy turned the Indianapolis Colts into a Super Bowl–winning team.”—Los Angeles Times  About the Author CHARLES DUHIGG is an investigative reporter for The New York Times. He is a winner of the George Polk and National Academies of Science awards, and was part of a team of finalists for the 2009 Pulitzer Prize. He is a frequent contributor to NPR, This American Life, and Frontline. A gradaute of Harvard Business School and Yale College, he lives in Brooklyn with his wife and their two children. 				    	 					              See all Product description"
Household,"KraftInn Bamboo Floor Lamp (Brown, 28-inch)"
Household,"Casa Copenhagen Exotic Egyptian Cotton 6 Pcs Towel Set - Honey Suckle One King Size Bath Towel (75x150cm), 1 Medium Bath Towel (60x120cm), 2 Hand Towels (40x60cm), 2 Face Towels(30x30cm)."
Household,"Khadi Eco Basket Foldable River Grass Bedding Mat, Medium, 6.5x4ft, Red and Yellow Khadi Eco basket products are most environment friendly & biodegradable product. This Mats are made of Natural Fiber from Korai Grass. Its a traditional craft, a customary skill of Villagers. This benefits to cool our Human Body & the quality of the mats considered to be unique. It's very easy to fold & store. Available in different design with amazing colors. The method of making Mat involves a lengthy process of deying, soaking, drying, splitting & Weaving. So it quotes high. Khadi Eco Basket's products include Food, Grocery, Honey, Ayurveda formulations, Khadi and Village Industries Commission certified products in personal care and other Eco-friendly categories, Handmade Toys, Art & Craft, Paintings, Fabric & Textiles, Eco-friendly Furniture and many others."
Clothing & Accessories,"Diverse Men's Solid Slim Fit Cotton Formal Shirt Diverse is a western wear value brand for men. Our range consists of basic and updated basic apparel across both formal and casual wear. We offer the right blend of quality, style and value aimed to delight our customers."
Electronics,"Western Digital My Passport 1TB External Solid State Drive (Black) Capacity:1TB   The My Passport SSD is portable storage with blazing-fast transfers. Password protection with hardware encryption helps keep your content secure. Easy to use, the My Passport SSD is shock-resistant, compact storage in a cool, durable design."
Electronics,"Fotodiox Canon EOS Macro Extension Tube Set for Extreme Close-Ups Package Type:Standard Packaging   A macro extension tube is a wonderful substitution to expensive macro lenses. It maintains the original optical quality while transforming the lens into a macro lens. It is far more desired then the add-on close-up lenses, which will alter the optical quality. The extension tube will work with all Canon EOS cameras, digital or film. The camera mount coupling adapter and lens mount coupling adapter can be used independently of the extension tubes or you can add in the tubes for extreme Macro photography. Because no other optical components are added with this kit, the image preserves the original optical properties of the lens. This is an affordable and simple way to turn your existing lens into a MACRO LENS. This tube set includes a lens-coupling ring and a body-coupling ring; three extension tubes of various sizes are also included to build up to the desired magnification. Life size image can be achieved with this set up. See details specification at the table below. Specs are based on a 50mm f1.4 lens. Compatible Cameras (including, but not limited to) Canon 1d/1ds, Mark II, III, IV, X, C, 5D, 5D Mark II/III, 7D, 10D, 20D, 30D, 40D, 50D, 60D, 60Da Rebel xt, xti, xs, xsi, t1i, T2i, T3, T3i, T4, 300D, 350D, 400D, 450D, 500D, 550D, 1000D The extension ring set has no electrical contact, so you will have to set your camera in manual focusing and manual exposure, or aperture priority mode for metering."
Clothing & Accessories,Karigari by Unlimited Girls' A-Line Regular Fit Salwar Suit Set (400017784762) Karigari SKD set for junior. This is made of 100% cotton cambric woven fabric.
Electronics,Gigabyte GV-N1050G1 Gaming-2GD Graphics Card (GV-N1050G1 Gaming-2GD) PCIE-3.0x16/2GB GDDR5/128 bit/HDMIx3/DP/Dual-Link DVI-D/With BackPlate Style name:Boost Clock 1556 MHz                                                                                 |                            Size name:2GB   Powered by GeForce GTX 1050 and integrated with 2GB GDDR5 128bit memory. Featuring windforce 2X with blade fan design
Books,"Word Power Made Easy About the Author About the Author: Norman Lewis was born on December 30, 1912 in New York and died on September 8, 2006. He was an author and grammarian and his flair for English language encouraged him to start writing books. He was orphaned at the age of 5 and was raised by his sister. Lewis wrote monthly columns for a magazine called Your Life in the 1940's. He was always fascinated with the English language and he shared his love for the language through his books."
Books,Cambridge English IELTS 8 Book with Answers and Audio CDs (2)): Official Examination Papers from University of Cambridge ESOL Examinations 
Clothing & Accessories,"VIMAL Men's Cotton & Crush Short (D11-Anthra-P) Spread the freedom-living lifestyle wearing shorts by VIMAL. Made from cotton, these shorts will keep you comfortable throughout. Featuring an attractive colour, these shorts will surely lend you a smart look."
Electronics,"VeeDee Bluetooth FM Transmitter, T19 Radio Adapter Bluetooth Car Kit, 5V/3.1A Dual USB Ports Car Charger, Support TF Card + U Disk, Handsfree Calling"
Books,MCQs in Pediatric Dentistry 
Household,"POG 3 in1 Spice Jars roll 'n' foil Dispenser Rack Holder - (Stainless Steel,Silver) POG spice roll n foil dispenser gives you a best solution to keep 6 types of spices, tissue roll and foil paper at one place. The design of rack is very compact and perfect so that it will not take too much space of your kitchen. Easy to install and easy to clean."
